Detector Type,Destriptor Type,Img 1,Img 2,Img 3,Img 4,Img 5,Img 6,Img 7,Img 8,Img 9,Img 10,Img 11,Img 12,Img 13,Img 14,Img 15,Img 16,Img 17,Img 18,
SHITOMASI,BRISK,13.3689,13.0305,12.3202,12.7521,12.2747,13.7449,12.9,12.6218,11.4559,12.7376,11.4265,11.7285,12.6532,11.8116,9.38674,11.1041,11.7264,9.87409,
SHITOMASI,BRIEF,13.7746,13.308,11.3769,13.0851,12.3342,13.0781,14.6347,11.7556,11.4926,12.27,11.7611,11.3997,12.2277,11.0014,11.1203,12.1848,10.571,9.47889,
SHITOMASI,ORB,13.603,13.2121,12.884,12.1046,11.7035,13.5266,13.2491,12.0155,11.3526,14.1452,11.4238,11.9654,12.305,11.4823,10.3981,11.7356,12.1119,9.11578,
SHITOMASI,FREAK,13.7616,11.8519,11.4126,13.3479,11.6402,14.2385,12.6612,12.1048,11.8703,12.1142,11.9599,11.5628,13.3476,12.2526,10.278,9.3482,11.5895,7.15778,
SHITOMASI,SIFT,13.5993,12.4656,11.7686,12.1789,12.8167,12.3506,12.5885,12.1304,11.6421,13.0516,12.1867,12.0531,12.4891,11.1574,10.4078,11.0235,11.7769,9.76267,
HARRIS,BRISK,nan,10.586,-80.8525,12.4858,13.2718,13.6217,12.2792,11.4949,nan,-inf,11.7414,5.18994,13.4095,12.4394,-inf,6.33028,nan,nan,
HARRIS,BRIEF,8.81335,11.0081,-11.4731,12.629,12.8795,12.9945,12.2,12.9162,3.30058,-inf,11.7414,nan,13.3551,7.72144,-25.2781,6.33929,12.6612,25.6763,
HARRIS,ORB,10.9082,10.586,-11.4731,12.629,36.3547,12.9945,13.6036,12.9162,nan,-inf,11.7414,23.9071,13.4095,5.85828,-11.5218,6.65726,12.5848,-inf,
HARRIS,SIFT,nan,11.0081,-11.4731,12.629,37.3809,12.9945,12.9162,13.5704,nan,nan,nan,nan,13.4327,nan,nan,6.60338,11.1009,-inf,
FAST,BRISK,12.5951,12.8061,15.9577,12.8743,19.0241,12.3765,12.1337,11.7417,12.7138,12.1169,12.313,11.7126,12.5109,11.6271,11.7805,12.1996,7.16224,12.6406,
FAST,BRIEF,9.03833,12.4967,13.1526,12.9991,30.2967,12.1823,10.9093,11.8219,13.1962,12.966,14.2702,11.5615,12.273,11.1134,11.7034,11.8423,10.5155,10.9396,
FAST,ORB,11.6549,12.3453,13.8862,12.3607,16.9679,12.5964,11.5131,11.1934,12.8545,12.3032,13.0011,12.5637,12.521,11.8781,11.5554,11.8668,9.27233,12.0558,
FAST,FREAK,12.0086,12.479,16.9876,13.6805,14.5341,12.0086,12.1961,12.0531,12.0008,12.4915,13.0068,12.192,12.466,11.1365,10.4,12.2027,7.77226,11.0883,
FAST,SIFT,11.5066,12.6977,14.2417,13.995,17.5047,13.1537,11.712,12.2073,12.1119,13.6593,13.2738,11.8337,12.4311,11.6271,11.1055,12.1318,10.7103,11.7522,
BRISK,BRISK,12.8659,16.5957,12.7803,14.8405,28.6365,17.8323,15.5593,15.9199,13.9678,10.6552,12.1394,11.1097,11.5717,12.4212,12.4717,10.9329,10.3503,12.3517,
BRISK,BRIEF,10.1889,16.1327,11.5662,17.8398,20.4757,20.6042,14.0882,19.1151,14.6993,10.1762,11.6251,12.6855,11.5071,10.7809,10.6437,11.7206,10.7937,9.96394,
BRISK,ORB,11.7327,15.829,14.2885,17.1298,23.8766,19.9254,12.1339,16.622,15.1317,11.255,13.4938,11.7882,11.6125,12.2443,10.8762,10.8778,8.62274,11.6691,
BRISK,FREAK,11.2939,19.6872,12.2048,14.8405,19.9198,23.0077,12.0534,15.3088,17.9749,12.7661,12.5041,10.8801,11.9619,12.2145,14.4302,9.97331,9.35263,11.5113,
BRISK,SIFT,12.3601,14.8661,15.4982,14.1211,27.8745,13.6592,13.2985,15.6507,17.2986,12.9318,12.8059,13.1157,11.4766,11.0703,10.8859,14.2392,10.7492,12.3709,
ORB,BRISK,10.676,13.5068,11.2793,16.4892,41.3827,10.0536,27.9717,10.6652,12.0094,11.0419,7.40879,-inf,13.7328,11.4171,24.6352,17.1962,20.3351,55.2418,
ORB,BRIEF,12.2865,14.042,19.9017,15.639,22.3972,16.1922,19.3349,128.473,39.376,11.0882,10.0798,20.1675,12.8245,8.59638,18.5571,10.9511,8.7295,19.7783,
ORB,ORB,19.0873,-inf,21.8644,25.1199,22.1464,-inf,-inf,10.9391,-inf,10.4209,9.12813,-inf,12.8562,13.6273,-inf,10.2191,14.4347,34.4586,
ORB,FREAK,12.2074,11.1048,11.3288,12.5761,743.244,65.7468,-inf,12.6809,30.3425,24.4419,8.12118,8.31342,8.36293,9.3101,8.12918,7.76548,11.3219,24.1855,
ORB,SIFT,9.27625,14.0802,13.0095,35.326,371.622,-inf,20.0919,10.6807,13.3112,10.8869,8.17532,-inf,12.9274,35.8137,171.916,-9.94681,9.02847,25.8155,
AKAZE,BRISK,11.8455,13.1113,13.0918,13.3027,13.1974,12.6651,15.6477,13.6024,14.1673,12.435,12.0939,10.3743,10.4123,9.70457,9.48155,10.0682,8.69653,8.67077,
AKAZE,BRIEF,12.101,13.519,12.0061,13.3839,14.0406,12.4618,15.4674,14.6608,12.5431,11.9802,12.9386,11.1953,10.9342,10.8077,9.53519,9.53052,8.80347,8.49658,
AKAZE,ORB,11.6102,13.5195,12.745,14.3365,13.6303,13.6516,15.3947,13.8281,12.7144,11.7826,12.3501,10.6091,10.9959,9.77147,10.1374,9.78989,9.21472,9.07435,
AKAZE,FREAK,11.5026,12.7074,12.827,13.9335,14.0043,14.025,15.3221,13.1172,11.5627,11.7715,11.516,10.5463,10.1861,10.0381,9.38574,9.97651,8.46005,8.73027,
AKAZE,AKAZE,12.3568,13.4647,13.1169,13.5962,14.4113,13.412,15.995,14.3734,13.7488,11.8806,13.2499,11.2959,10.7347,11.7254,10.3368,9.8426,9.52044,8.92005,
AKAZE,SIFT,12.711,13.5627,12.8635,13.6642,14.7921,13.2732,16.0343,14.1767,13.968,11.5777,11.9214,10.7194,10.6308,9.84168,10.1374,10.4858,9.27111,8.62584,
SIFT,BRISK,11.426,14.7719,12.9514,18.3363,14.6721,10.9097,14.1791,15.0618,12.7456,10.9742,11.2389,10.5949,10,9.21285,10.0847,9.20234,8.56505,8.3757,
SIFT,BRIEF,11.8415,14.0201,13.5177,18.0824,15.0476,11.5345,13.6866,15.5787,13.0602,10.6264,10.9654,11.2911,10.0351,11.7874,9.28974,8.74041,8.53694,8.03674,
SIFT,FREAK,10.4092,12.6972,13.1309,15.8305,13.2546,11.1687,13.6342,11.9887,13.8978,11.0428,11.2478,10.106,8.60988,9.38159,10.515,9.07649,8.61235,8.68999,
SIFT,SIFT,10.4696,13.0746,13.4522,16.3773,13.329,11.6616,14.2273,14.6392,12.3601,11.0816,11.1157,10.0274,10.0207,10.9337,9.36304,10.2213,8.54489,8.84183,
